Frm,Track,xc,yc,w,h,Velocity(kmph)
10,7,2825,648,83,61,0.12955710559585
10,1,2398,1395,94,128,25.1473052558537
10,9,2435,516,70,62,-0.321090468822723
10,2,1809,857,134,70,36.5564617120872
10,5,2491,404,86,49,-0.128205646079414
11,12,3468,1910,177,96,0.310868211752515
11,6,2477,456,88,50,0
11,13,1831,1346,38,98,10.4189853664549
11,4,2392,391,83,51,1.11783380467163
11,18,2079,1012,360,104,38.2154072885182
11,8,2526,643,75,65,0
11,10,2692,660,90,62,1.05795054559999
11,15,3634,648,112,46,0.484886301971078
11,14,1522,1389,107,43,24.2443315114694
11,11,2309,607,95,136,2.60976584110997
11,3,2189,995,133,72,38.7630159424651
11,7,2825,648,83,61,-0.106029263524586
11,1,2402,1403,94,130,25.5859519455196
11,9,2435,516,70,62,-0.367611406932161
11,2,1822,857,136,70,37.37239235046
11,5,2491,404,86,49,-0.210363859113584
12,12,3466,1911,176,98,2.0620153414992
12,6,2477,456,87,51,0
12,13,1832,1343,39,99,9.94789173323311
12,4,2392,391,82,51,0.798405482411139
12,8,2527,643,76,65,0.93193855343503
12,10,2692,660,90,61,0.790962881061367
12,15,3634,648,110,45,0.257762751675264
12,14,1527,1392,114,44,21.8406218884501
12,11,2309,607,94,136,1.64358681767296
12,3,2200,995,132,73,37.0989165021871
12,7,2826,648,83,61,0.667484922875885
12,1,2405,1412,96,130,26.39773612108
12,9,2436,516,72,62,0.538880243961604
12,2,1834,857,135,71,37.0036259116983
12,5,2492,404,86,49,0.669245224073419
12,16,1522,1388,47,45,30.7009693787185
13,12,3468,1911,176,97,3.15424841782622
13,6,2477,456,87,50,0
13,13,1833,1336,39,96,12.9914597348978
13,4,2391,391,83,51,1.42821220599405
13,8,2526,643,76,65,1.61624863340376
13,10,2692,660,90,61,0.5915893651152
13,15,3631,646,106,42,3.74462306608471
13,14,1532,1394,124,44,19.6932540445805
13,11,2310,608,93,136,2.16514319153443
13,3,2212,995,132,73,36.720464928018
13,7,2826,648,83,61,0.378280355352346
13,1,2408,1420,97,130,26.1698931360958
13,9,2436,516,72,62,0.345025580384217
13,2,1846,857,136,71,36.7139773034762
13,5,2492,404,86,49,0.454560626436338
13,16,1529,1390,47,45,26.8554972339756
14,12,3468,1910,177,96,3.1688265466311
14,6,2477,456,88,50,0
14,13,1833,1331,38,92,13.613762732566
14,4,2391,391,83,51,1.09295335203758
14,8,2526,644,76,65,2.12774982105509
14,10,2692,661,90,61,1.24962804804712
14,15,3631,646,105,40,2.86947030001582
14,14,1540,1395,126,43,20.2572833083412
14,11,2310,608,93,137,1.42257448851244
14,3,2224,995,133,73,36.4234183095508
14,7,2826,648,83,61,0.164395652900388
14,1,2411,1428,94,130,25.9881028065598
14,9,2436,516,73,62,0.200424979526846
14,2,1858,858,134,70,36.5148169334586
14,5,2492,404,86,49,0.293445611869288
14,16,1541,1392,45,44,32.1974649946815
15,12,3468,1910,176,95,2.41473983396887
15,6,2478,456,88,50,0.761658391315794
15,13,1834,1328,38,91,12.6854690141393
15,4,2391,392,83,51,1.59338821421013
15,8,2526,644,75,65,1.75362968554797
15,10,2691,660,90,61,2.07182743318015
15,15,3631,647,106,42,3.07796454213027
15,14,1554,1397,115,45,25.3448496217597
15,11,2310,609,93,137,1.61809684083802
15,3,2237,995,132,72,36.9473615827663
15,7,2825,648,83,61,0.766048204100725
15,1,2413,1437,94,130,26.354638354362
15,9,2436,516,73,62,0.0911365194506003
15,2,1871,859,135,70,37.1089914919108
