Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
46,1,2495,1693,94,133,25.0956922230115,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
47,1,2498,1702,95,131,25.488974177923,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
48,1,2500,1710,96,132,25.2545031478264,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
49,1,2502,1719,96,131,25.5069238235171,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
50,1,2505,1728,94,130,25.8657903702636,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
51,1,2508,1736,93,130,25.7397790433928,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
52,1,2510,1745,94,132,25.9456787941457,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
53,1,2512,1753,94,131,25.6646347576644,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
54,1,2515,1762,94,131,26.0000931768737,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
55,1,2518,1771,94,129,26.3044227476122,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
56,1,2520,1780,95,129,26.4501857491382,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
57,1,2522,1788,96,131,26.1115596126833,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
58,1,2524,1796,97,130,25.7977995808492,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
59,1,2526,1805,97,132,25.9757594849409,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
60,1,2529,1814,96,132,26.2654428775382,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
61,1,2531,1822,95,132,25.9332859134925,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
