Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
36,1,2470,1611,97,130,25.7679653246677,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
37,1,2474,1619,95,131,25.8352678987612,4.0,8.0,1.1071487177940904,0.00016996886693444616,0.0005791388603991162,0.0027041235665991536,0.02130068553062607,0.35190842905773045,0.9988901857903,0.9901570815051386,0.20846645851081255,SW
38,1,2476,1627,95,131,25.5596001315566,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
39,1,2478,1635,96,131,25.3067910786345,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
40,1,2480,1644,97,131,25.543439096582,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
41,1,2482,1651,97,133,24.8305984816818,2.0,7.0,1.2924966677897853,0.00013155769779620602,0.00042363652180621734,0.0018114148399492522,0.012271463174231603,0.17661466541911613,0.983280136350038,0.9995356138764494,0.408418333954874,W
42,1,2485,1660,96,133,25.2395074199417,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
43,1,2487,1669,94,132,25.4882870221927,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
44,1,2490,1677,93,130,25.3924640205927,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
45,1,2492,1685,94,132,25.162196829933,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
46,1,2495,1693,94,133,25.0956922230115,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
47,1,2498,1702,95,131,25.488974177923,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
48,1,2500,1710,96,132,25.2545031478264,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
49,1,2502,1719,96,131,25.5069238235171,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
50,1,2505,1728,94,130,25.8657903702636,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
51,1,2508,1736,93,130,25.7397790433928,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
52,1,2510,1745,94,132,25.9456787941457,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
53,1,2512,1753,94,131,25.6646347576644,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
