Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
16,1,2416,1445,94,130,26.1500853527359,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
17,1,2419,1453,94,130,25.9792671345263,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
18,1,2422,1462,95,129,26.4498932703942,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
19,1,2425,1469,95,130,25.6622809642715,3.0,7.0,1.1659045405098132,0.002309449502506303,0.04567100776967592,0.3322625178405256,0.8892640242611856,0.875565599571448,0.31714307631358096,0.04226008227129868,4.296205014816531e-05,SE
20,1,2427,1477,95,130,25.378868172038,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
21,1,2430,1485,96,128,25.3102316900642,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
22,1,2433,1494,97,127,25.7817849048204,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
23,1,2436,1503,96,129,26.1855224712033,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
24,1,2438,1511,96,129,25.8669134674083,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
25,1,2441,1520,97,130,26.2350818398336,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
26,1,2444,1528,96,129,26.0687538788019,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
27,1,2447,1537,96,129,26.3957855541011,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
